Time_s,R_index,RR_interval_s,HR_BPM
263.26,32645,0.744,80.64516129032258
264.04,32741,0.768,78.125
264.781,32834,0.744,80.64516129032258
265.525,32927,0.744,80.64516129032258
266.238,33017,0.72,83.33333333333334
266.984,33108,0.728,82.41758241758242
267.724,33202,0.752,79.7872340425532
268.464,33296,0.752,79.7872340425532
269.267,33394,0.784,76.53061224489795
270.089,33496,0.816,73.52941176470588
270.912,33601,0.84,71.42857142857143
271.734,33703,0.816,73.52941176470588
272.534,33803,0.8,75.0
273.29,33897,0.752,79.7872340425532
274.015,33986,0.712,84.26966292134831
274.666,34068,0.656,91.46341463414633
275.328,34151,0.664,90.36144578313252
276.004,34237,0.688,87.2093023255814
276.666,34320,0.664,90.36144578313252
277.346,34402,0.656,91.46341463414633
277.956,34481,0.632,94.9367088607595
278.621,34564,0.664,90.36144578313252
279.322,34652,0.704,85.22727272727273
280.027,34740,0.704,85.22727272727273
280.732,34827,0.696,86.20689655172414
281.411,34912,0.68,88.23529411764706
282.108,34999,0.696,86.20689655172414
282.813,35088,0.712,84.26966292134831
283.538,35178,0.72,83.33333333333334
284.222,35264,0.688,87.2093023255814
284.944,35350,0.688,87.2093023255814
285.594,35434,0.672,89.28571428571428
286.262,35518,0.672,89.28571428571428
286.911,35599,0.648,92.5925925925926
287.552,35679,0.64,93.75
288.199,35759,0.64,93.75
288.843,35840,0.648,92.5925925925926
289.494,35922,0.656,91.46341463414633
290.145,36004,0.656,91.46341463414633
290.808,36086,0.656,91.46341463414633
291.493,36172,0.688,87.2093023255814
292.154,36255,0.664,90.36144578313252
292.801,36336,0.648,92.5925925925926
293.466,36419,0.664,90.36144578313252
294.155,36503,0.672,89.28571428571428
294.784,36583,0.64,93.75
295.414,36662,0.632,94.9367088607595
296.044,36741,0.632,94.9367088607595
296.666,36818,0.616,97.40259740259741
297.283,36895,0.616,97.40259740259741
297.928,36974,0.632,94.9367088607595
298.6,37057,0.664,90.36144578313252
299.258,37142,0.68,88.23529411764706
299.932,37226,0.672,89.28571428571428
300.606,37311,0.68,88.23529411764706
301.32,37399,0.704,85.22727272727273
301.997,37484,0.68,88.23529411764706
302.69,37570,0.688,87.2093023255814
303.391,37658,0.704,85.22727272727273
304.089,37743,0.68,88.23529411764706
304.764,37825,0.656,91.46341463414633
305.401,37906,0.648,92.5925925925926
306.009,37985,0.632,94.9367088607595
306.637,38062,0.616,97.40259740259741
307.214,38137,0.6,100.0
307.806,38210,0.584,102.73972602739727
